corner_place_id,google_id,original_name,neighborhood,website,instagram_handle,name,category,price,hours,reviews
419,ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,Manhattan,https://www.metmuseum.org/,metmuseum,Admission,Art museum,0.0,,"['The Met is seriously one of the coolest places I’ve ever been \U0001fa75✨🌼 The sheer size of it is mind-blowing, and there’s something for everyone—ancient mummies, stunning paintings, and even a full temple! You could spend hours (or days) here and …', ""It's one of the best museums I've ever visited: culture, history, rich exhibitions that make you travel not only through time but through continents: Egypt, Japan, China, India, Pakistan, Greece, Roman Empire, US, Europe - just wow! You can …"", 'The Met is such an incredible experience. It’s one of the biggest museums of any kind I’ve ever been to, and it’s packed from wall to wall with interesting stuff. Some sections are more interesting than others for me, but that’s all …', ""An absolute must see in New York! I've been visiting this museum for over 25 years now, and still feel that I've only explored a fraction of this wonderful museum. My all time favorites are the Temple of Dendur (in a snowy weather) and …"", 'The iconic MET museum, Housing art and installations from around the world, you an easily spend a day in here or whip round your favorite pieces in half an hour. …']"
121459,ChIJvTUD4LZZwokRPYqxLi7y9Kg,Bibliotheque,SoHo,https://www.bibliothequenyc.com/,bibliothequenyc,Popular times,Wine bar,0.0,{},"['Adore this place!!! The tables inside are incredible. Foods are also great, go really well with their selection of wines. Definitely willing to go back with my friends. …', 'Thank you so much for coming, Crystal! We hope to have you back soon!', 'Lovely space! It has became my son’s favourite NYC hangout spot where he can read many books while enjoying delicious croissants and matcha latte, and I can enjoy some quiet reading time over nice coffee and orange wine. A good collection …', 'Thank you so much for coming, Vivian! We hope to see you again soon when you’re back in NYC!', 'Bibliotheque: A Cozy Spot for Books, Bites, and Great Drinks\n\nIf you’re looking for a place that combines great food, drinks, and a love for …']"
2362,ChIJi7flemFZwokRDpIJuxfOGek,Devoción,Brooklyn,http://www.devocion.com/,devocionusa,Add missing information,Coffee shop,,{},"['From the moment I walked into the store, the aroma of Colombian coffee was unmistakable—rich, unique, and truly incomparable. As always, I ordered a cappuccino and banana bread. The service was fast, efficient, and friendly, making the …', 'I absolutely love the atmosphere of this coffee shop.\nIt strikes a perfect balance between an industrial aesthetic and a fresh, inviting appearance. …', 'Great place for a coffee stop in Brooklyn!  When I was there the line was pretty long, but it moved fairly quickly.  I got an iced latte and some beans to go.  This isn’t the kind of place to get a super sugary coffee so if that’s what you …', 'Lovely place to enjoy freshly roasted coffee ☕️\nIt is amazing to see the roasting process at the entrance!\nThey also sell coffee bags, I would come here often! …', 'Saw this beautiful place from the outside and just had to stop by. The plants, the dark wood I mean this place was stunning. They didn’t offer and sweeteners for their coffee besides a simple syrup. Tea was amazing. So many options. Overall the place was beautiful.']"
3366,ChIJJXCD6ltZwokRJ_cwjKQH63c,Lilia,Brooklyn,http://www.lilianewyork.com/,lilianewyork,Updates from customers,Italian restaurant,,{},"['Lilia was quite the experience! There has been a lot of hype around Lilia, and I think that it lives up to it. Is it as good as some of the places in the West Village? Well, I’d say they’re very different experiences. …', 'A unique pasta forward menu with many vegetarian options\nThe pastas are fresh and well made. Many excellent starters especially the focaccia served with garlic butter. Excellent olive oil cake for desert. Also a good …', ""This is not the usual style of Italian food I like but it really blew me away! Two standouts to me were the Sheep's Milk Agnolotti and Caramelized Onion Ravioli. The former is a chewy pasta with a sweet, creamy cheese. And the latter is a …"", 'Full disclosure: I have had the great blessing to eat at Lilia about a dozen times over the last few years, the pictures attached to this review were from a visit a couple of years ago. …', 'I’ve had the privilege of eating here more than a few times and always leave extremely happy. …']"
14979,ChIJ64q9nXNZwokRCt5KB8WXT6M,Ume,Brooklyn,http://umenewyork.com/,,Updates from customers,Japanese restaurant,,{},"['This place was so cute , we got to sit outside (covered area and heated). The food was very delicious, just wish the portion was bigger or they could give more sushi rice with out extra purchase but the quality was incredible. …', 'the place is so pretty and quite, i choose the garden and its so nice especially if you looking for date-night. the service is standard, the food is also nice and well presented also fresh. but for 78$ pp (200$ for 2people after tax and …', 'My girlfriend and I celebrated our 6-month anniversary here, and it was an unforgettable sushi experience. From the atmosphere to the service and the food, everything was outstanding. The presentation of each dish was unique, and the …', 'The place is beautiful from the lighting to the decoration. The food is really good quality and came pretty fast. The negitori though has too much emphasized on the seaweed crush making it harder to taste the fish. The bowl was absolutely …', ""Prix Fixe Set - $78\nSushi tasted fresh, and was super interesting tasting all the flavor combos! We didn't really utilize the different types of salt due to the flavor combos on …""]"
3372,ChIJgc7fPIVZwokRQMnqTxTf_Qk,Fish Cheeks,NoHo,https://www.fishcheeksnyc.com/,fishcheeksnyc,Updates from customers,Thai restaurant,,,"['Came because of the hype but my family and I thought most of our food we got was a bit too salty. Specifically thought the crispy rice salad & pork appetizer was way too salty. We do love how the fish was very flavorful though, the steamed fish was our favorite for sure. Crispy pork is very spicy so just a heads up!', 'I tried their 2025 RW menu on my first visit to the restaurant. The oysters were amazing—I loved their bold sour and spicy flavor. The chicken wings and crab fried rice came in generous portions, adding great value to the Restaurant Week …', ""We had the absolute pleasure of dining at Fish Cheeks, and I can't recommend it enough! From the moment we walked in, we were greeted by the warm, welcoming atmosphere and friendly staff. The vibe is vibrant and cozy, with just the right …"", 'Fantastic lunch with my not so little City Girl 💚 Thank goodness she can chow down! The gentleman that served us was very friendly, gave us his recommendations and suggested how to best utilize the tasty sauces. We would 100% order the …', 'Crazy good spot for Thai seafood-focused cuisine, probably one of the best in town. Every dish was amazing, but personal favorites were definitely the steamed fish main and the shrimp in 3 crab sauce appetizer with their strong flavors. …']"
9662,ChIJDyCs8UNZwokRaNcdvn_c6jU,Librae Bakery,East Village,http://libraebakery.com/,libraebakery,Add missing information,Bakery,,{},"['We tried the Pistachio Rose Croissant and it was delicious. We got it when it was freshly out of the convention oven, and was warm , buttery, flaky and rich in flavors. The perfect blend of floral sweetness and nutty richness pairs …', 'Tried their famous pistachio rose croissant. It was decadent. Some pistachio croissant barely have any filling but this one had way TOO much for my liking. It was good but not near my top 3 in the city. Flat white was fine!', 'There was a line but it moved right along.  This female-owned, Middle Eastern bakery has a danish influence and the result is yum! We got 4 different pastries and shared.  The pistachio croissant was the flakiest I’ve ever had.  My favorite …', 'Atmosphere: Quite nice and friendly. However, there is almost always a queue, which is an indication of the popularity of the place. …', ""one of the best croissants I've had in the US! I also got their pretzel with everything seasoning and it was dense and savory. I also got the bread pudding but was not a fan - it had walnuts and what seemed like sweet potato?? I'll come back for the croissant!""]"
501,ChIJD-1a9ChawokRnTSi_Et62x4,Kiki's,Chinatown,https://kikisnyc.com/,kikis_nyc,Updates from customers,Greek restaurant,,{},"['Food was great, this place lives up to the hype! The vibe here is an interesting mix - Greek food over Chinese-inspired plates, in a cozy vintage interior under the store sign written in Chinese characters. We ordered a lot, including all …', 'Came here for an early dinner. The crowd picks up around 6:30. You wouldn’t find a seat at the bar. There are long bench for large groups. …', ""This place hits on all levels.  The outside is the signage from the printing store that used to occupy the space but when you step inside you feel like you're in a Greek Taverna.  It's on the small side but comfortable and cozy.  The …"", 'good prices for fine mediterranean food. would recommend for a casual meal. expect to wait and sit close to strangers. …', 'Really unique kinda food. I never tried Greek cuisine before and simply felt in love with Kiki’s. I ordered 3 dishes and Saganaki was one of my fav. A great mix of cheese, honey, and lime make a complete flavor.']"
9435,ChIJVcSnm-NYwokRnGivcMPc81Q,Tomi Jazz,Midtown East,http://www.tomijazz.com/,,From the owner,Jazz club,,,"['Had the loveliest time here with my friend. We tried 4 of their signature cocktails (my favourite was the Clever) and a couple apps as we listen to the band perform. We loved the decor and really enjoyed the live music. For those coming on …', 'I came 20 minutes earlier before open on Saturday but had waited 2.5 hours to get in. There around 30-40 seats in total with 2 hours limit per table. You may be seated in the area where staff traveling across. The music and vibe are great …', 'Thursday night, We started lining up at 6 PM and finally got in around 8 PM.\n\nThis was such a unique experience—live jazz, Japanese food, and cocktails! …', 'Awesome jazz bar! Such a great atmosphere, and food is surprisingly good - very cozy Japanese dishes. …', 'Wonderful jazz bar, the band is absolutely amazing. Great live music, good food and such a cozy-romantic atmosphere. We did spend almost 2 hours in line, I wouldn’t say I’d go again, but it was a good experience. Make sure you go early and make at least 1-2 hours for the line!']"
1165,ChIJbTCMl19ZwokRUohF137p9cQ,The Four Horsemen,Brooklyn,http://fourhorsemenbk.com/,fourhorsemenbk,Updates from customers,Restaurant,,,"['Our server, Jason, gave us great recommendations on what to order. Although we weren’t huge fans of the oeuff mayonnaise or leek toast, everything else — especially the bread and celery salad — was what would bring us back! …', 'Very rarely do restaurants live up to their hype but this spot is an exception as it definitely does! The menu is simple and precise, the food is delicious, the vibe is very cosy, the wine is superb and the service is friendly and professional. Loved every second and will definitely come back!', 'Wow! What a treat! Walking in is quite easy if you come right before their opening time. The salads are phenomenal. Steak a must have. Wine selection is quite a treasure.', 'I had a wonderful experience here! I walked in spontaneously after hearing great things about this spot and was absolutely thrilled by the experience. The menu changes often, and everything we tried was a culinary delight. Each dish offered …', 'Had a great experience for lunch here. Didn’t have a reservation so walked-in on a Sunday morning and was seated in ~5-10 minutes at the bar. The food here is small-bites, higher price and higher quality but worth it IMO for a Michelin star …']"
52066,ChIJ064AVwtZwokRK_IbyKmCNBQ,La Cabra,SoHo,https://us.lacabra.com/pages/soho,lacabracoffee,Add missing information,Coffee shop,,{},"[""One of the best latte I've ever had.\nI didn't know how to explain it, but the combination of the coffee and the milk was perfect. I ordered the hot latte. …"", 'I always dive into coffee place and this cafe just as I expect. So I order the 🍵 latte with the cute and unique bakery. The place is very busy when I get there but I still be able to seated after all. Recommended next time I’ll try the espresso ☕️ …', 'Top of the list of places I want to come back to next time I visit New York!! The hot chocolate was rich and creamy and the cardamom bun was soft and delicious. Watching the bar work in the middle with efficiency and ease sets a calm tone to the busy cafe.', 'I went to this coffee shop on the advice of my son, a great connoisseur of specialty coffee. The coffee shop really offers very tasty coffee from small plantations, of different processing and different preparation. The atmosphere is …', 'The croissant and cardamom bun are so moreish, I’ve had them every day. I despise almond croissants but loved theirs (also moreish) — and they make/serve actually good matcha. Love it here!']"
402,ChIJs8MdNo9ZwokRTPUHiArLC-o,Rubirosa,Little Italy,https://www.rubirosanyc.com/,rubirosa_nyc,Updates from customers,Pizza restaurant,,{},"[""Worth the wait and the slightly cramped space. Everything we ordered here was surprisingly great. The pictures alone look great - but they taste even better than they appear. But the highlight for me was the Tie-Dye Pie. It doesn't make …"", ""Hello S Yoon !\nThank you so much for your kind words! We're thrilled to hear that you enjoyed everything, especially the Tie-Dye Pie! It truly is something special, and we're … More"", 'I asked my cousin to take me to a yummy New York Pizza. This place was amazing! The  house made sauce was so flavorful, and the thin crust had the perfect crunch. We came in hungry so we ordered the Heirloom Tomato Caprese as an appetizer …', 'Hi Abby! Thank you for taking the time to let others know about your amazing experience at Rubirosa Ristorante. We aim to make every guest as happy as you described! We are so gratified that you loved the food! We look forward to having you as our guest again soon. Warmly, Rubirosa Ristorante Team', 'The pizza was very thin like almost crispy tortilla dough! the sauce was tasted like homemade not too strong which was good!  We also loved the salad and mozzarella sticks. I would not say that this is the best pizza in nyc but def worth to go here!']"
8594,ChIJ_xVHVB5bwokRXZSTppGOkK4,L'Appartement 4F,Brooklyn Heights,http://www.lappartement4f.com/,lappartement4f,Updates from customers,Bakery,,,[]
1167,ChIJfxC19JVZwokRX2uKgQAL17c,Don Angie,West Village,http://donangie.com/,donangienyc,Updates from customers,Italian restaurant,,{},"['Had an amazing birthday dinner at Don Angie! The food was absolutely delicious—every dish was packed with flavor and beautifully presented. The service was top-notch, with an attentive and friendly staff who made the night even more …', 'With Don Angie’s reputation, the food should be life-changing. However, it was really just…good. Not great. First, the restaurant is SO loud and the tables are incredible close together, someone next to us getting out bumped into our table. …', ""What an amazing choice! The lasagna here is hands down the most delicious you'll ever try. The service is exceptional. And let's not forget about the mimosas with blood orange - they're a delightful twist on the classic ones. If you're considering booking a table, go for it! ( if you can find one  :) )"", 'Excellent Italian restaurant.  Pastas were amazing but the salads were even more memorable.  Rolled Lasagna was really impressive but we liked the black and white pasta even better.  I never seen chrysanthemum salad in any other restaurant …', ""Don Angie was such a delight. Everything we ate and drank tasted marvelous and the staff was amazing. The highlights for our table were the salad, the sweet potatoes, the lasagna and the tiramisu, but honestly, everything was delicious. Definitely worth it if you're able to get a table!""]"
1945,ChIJ5bQPhMdZwokRkTwKhVxhP1g,The High Line,Chelsea District,https://www.thehighline.org/,highlinenyc,Admission,Park,,{},"['This elevated walkway is built on a rail line used in the 1930s to transport goods. A section of it was kept and transformed into a walkway (1.45 miles)\nThe walkway includes gardens, art displays, as well as restaurants and offers …', 'What an amazing public space.  A peaceful place to walk and be in nature in the middle of NYC.  Plenty of public art, architecture,  and the city to look at.  Well-appointed seating areas, clean and safe. A gem for sure.  Plus so many restaurants and things to do around it.', 'Great way to see the city from above. You can walk the high line from 31st Street up to the Whitney museum. Enjoy the beautiful architecture, gardens, and street views. There are rest areas to sit down and take a break. Even during the winter it is worth walking it.', ""It's a nice area to go for a walk.  You're elevated, so you don't need to cross any streets.  There are elevators, so you don't have to walk up the steps.  The viewing area is just a view onto the street from right over the street.  It's …"", 'Fantastic walkway where you can stroll down in your own pace. There’s no street rush feel. Such a unique place as well, The High Line is an absolute gem in NYC. A beautiful blend of nature, art and city views, offering a peaceful escape …']"
1950,ChIJ6xvs94VZwokRnT1D2lX2OTw,Prince Street Pizza,Little Italy,https://locations.princestreetpizza.com/new-york,psp_nyc,Updates from customers,Pizza restaurant,,,"[""The pizza in NY just can't be beat! I have heard that there is something in the water that makes it some of the best pizza in the world and Prince Street Pizza is a testament to that. It is not a joint where you can sit down, however, they …"", ""Hi Quin - Thanks for the awesome review! We're stoked to hear you enjoyed our pizza and hope to see you again soon."", 'This pizza place was one of the memorable places I ate in while visiting New York. I absolutely loved the sauce on The Fancy Prince. This original pizza sauce is flavorful and tomatoey while being balanced with a hint of sweetness. The Meat …', ""Hi Carina - Thanks for the awesome review! We're pumped to hear you enjoyed The Fancy Prince and appreciate your kind words about our sauces. Hope to see you again soon!"", ""A classic New York slice from an iconic pizzeria. Prince serves up a solid pie.\nI prefer my pizza with a touch more char - if you're like me, my feedback would be to ask the server to cook the pie/slices a tad longer. …""]"
2446,ChIJOUqatilawokRguvFSj0wX7Y,Scarr's Pizza,Chinatown,http://www.scarrspizza.com/,scarrspizza,Updates from customers,Pizza restaurant,,{},"['If you love pizza you will love Scarr’s! They offer classic NY style and Sicilian squares and both are top-notch. …', 'Scarr’s Pizza has a funky, energetic vibe with super loud music that sets the tone for a lively experience—but it might not be for everyone. The pizza itself was decent. The crust stood out as the highlight—perfectly cooked with a nice …', 'The hot boi is the best slice I’ve had in the city so far. The topping combination as well as the dough quality makes this one a winner for me. Both the regular and Sicilian were very good to me. …', 'Very solid slice of pizza! I got the regular pepperoni w the hot honey on it. You must ask to get hot honey, you can’t put it on yourself. The store is split into two sides, the takeout side and the sitdown side. Both sides were packed, …', ""Wow! When it comes to New York slices, I'm typically pretty old-school and just go with the plain slice, but the hot honey jalapeño pepperoni slice from Scarr's is one of the best I've ever had in New York City, or anywhere! 10 out of 10 for quality, uniqueness of flavor, sauce and undercarriage.""]"
