query,timestamp
book,2025-02-21 17:41:57.752804+00
bookstores,2025-02-21 17:41:11.954514+00
aesthetic brunch,2025-02-21 17:30:47.724411+00
brunch greenpoint,2025-02-21 17:30:21.841771+00
activity date,2025-02-21 16:58:38.213512+00
chill date night,2025-02-21 16:56:01.747496+00
birthday cake,2025-02-21 12:58:18.09009+00
cafes to work from,2025-02-21 12:41:28.544169+00
cafe with wifi and natural light,2025-02-21 07:21:52.169938+00
cheap drinks good vibe,2025-02-21 04:59:56.004439+00
cafes open at 7am,2025-02-21 04:35:44.395748+00
cafes that open at 7am,2025-02-21 04:25:34.936908+00
audiophile,2025-02-21 02:33:59.068518+00
coffee shop,2025-02-20 16:54:18.498321+00
big group,2025-02-20 07:00:41.928509+00
coffee open late,2025-02-20 03:09:57.991435+00
brunch date,2025-02-19 23:38:53.043937+00
24/7 deli,2025-02-19 17:03:07.792303+00
bakeries,2025-02-19 15:52:49.038292+00
aesthetic italian,2025-02-19 12:16:09.255126+00
bougie,2025-02-19 07:10:48.818401+00
cafes to work,2025-02-19 05:08:24.171287+00
chinese,2025-02-19 03:51:58.949162+00
cafe that turn into bars,2025-02-19 03:49:02.931108+00
catching up with a friend,2025-02-19 03:24:40.546583+00
croissant,2025-02-19 00:31:21.618423+00
bangkok,2025-02-18 22:44:17.856186+00
birthday cards,2025-02-18 22:32:28.669814+00
chelsea f,2025-02-18 19:51:17.442279+00
astoria,2025-02-18 19:43:17.548492+00
antique stores,2025-02-18 19:40:08.288017+00
cafe to work,2025-02-18 17:24:41.610226+00
cozy cafe,2025-02-18 17:15:21.188952+00
beer tap dive bars,2025-02-18 14:31:23.944075+00
cheap jazz bars,2025-02-18 05:36:47.941788+00
caribbean,2025-02-18 02:01:29.773939+00
bars,2025-02-18 00:35:52.913922+00
art cafe,2025-02-18 00:24:29.08819+00
38 street,2025-02-17 23:19:01.209873+00
cafes,2025-02-17 22:19:38.14998+00
aesthetic bar,2025-02-17 17:53:26.442973+00
comfy bar,2025-02-17 17:52:53.050766+00
chill coffee,2025-02-17 17:24:27.586195+00
cafe with internet,2025-02-17 16:49:11.31632+00
cafes to read,2025-02-17 16:15:17.49262+00
bedroom6,2025-02-17 13:24:01.152844+00
art,2025-02-17 06:39:34.41345+00
brunch with a friend,2025-02-17 01:34:07.228489+00
cozy brunch,2025-02-17 00:41:23.953506+00
chill cafe,2025-02-17 00:40:05.098506+00
coffee shops to work,2025-02-16 23:04:07.293614+00
asian food,2025-02-16 21:55:33.718494+00
coffee shops upper east side,2025-02-16 21:14:49.035596+00
chelsea,2025-02-16 21:08:25.121402+00
cozy night with games,2025-02-16 18:13:08.277134+00
cozy night,2025-02-16 18:11:49.513109+00
cozy,2025-02-16 18:11:31.726364+00
breakfast in brooklyn,2025-02-16 03:19:02.998096+00
burlesque,2025-02-16 02:06:51.327489+00
candy,2025-02-15 19:23:22.530363+00
clothing store,2025-02-15 16:09:21.283489+00
art galleries,2025-02-15 13:45:40.016796+00
coffee shops,2025-02-15 13:23:46.753141+00
bar mulberry,2025-02-15 04:25:26.708162+00
bar that plays the talking heads,2025-02-15 02:04:35.314632+00
club,2025-02-14 21:48:40.918157+00
cafes for work,2025-02-14 18:51:32.137389+00
blt sandwich,2025-02-14 17:30:30.144758+00
blt sandwhich,2025-02-14 17:30:10.688489+00
birthday,2025-02-14 14:50:01.678852+00
cat cafe,2025-02-14 14:45:35.289227+00
activities,2025-02-14 14:22:43.00276+00
coffe,2025-02-14 04:05:53.763134+00
brass,2025-02-13 22:28:53.76217+00
chill,2025-02-13 19:58:30.511946+00
breakfast sandwich,2025-02-13 09:16:13.638159+00
blt,2025-02-13 04:10:09.332809+00
cote,2025-02-13 03:14:16.295466+00
cool wine bar,2025-02-13 00:52:32.143823+00
brow,2025-02-13 00:28:25.768498+00
cozy thai,2025-02-12 22:28:36.151995+00
breakdast,2025-02-12 17:25:25.836326+00
claytonbass,2025-02-12 11:22:57.720806+00
actually good food,2025-02-11 19:03:40.763623+00
cheap lunch,2025-02-11 18:22:49.017934+00
cheap food,2025-02-11 18:22:01.642116+00
brunch in greenpoint or williamsburg,2025-02-11 16:47:46.199767+00
brooklyn br,2025-02-11 15:37:57.247154+00
boba new york,2025-02-11 05:10:52.958248+00
cheap chinese,2025-02-10 20:57:02.670275+00
birthday dinner,2025-02-10 20:48:33.756185+00
chocolate,2025-02-10 03:54:12.440945+00
911,2025-02-09 15:32:20.197424+00
12 w 21st st,2025-02-09 11:50:50.290789+00
chicken wings,2025-02-09 00:25:26.605048+00
cool mens clothes,2025-02-08 23:39:00.84847+00
bookstore that sells play scripts,2025-02-08 23:16:12.14724+00
bode,2025-02-08 18:28:16.928486+00
cofee,2025-02-08 17:46:15.554196+00
book cafe,2025-02-08 13:34:25.451949+00
best food in new york,2025-02-08 07:51:08.654945+00
10541,2025-02-08 04:41:55.688551+00
44319,2025-02-08 04:40:54.716808+00
classic manhattan brunch,2025-02-08 03:28:52.190275+00
brunch soho,2025-02-08 01:59:32.697976+00
afternoon tea,2025-02-07 22:51:28.682772+00
afternoon tes,2025-02-07 22:51:26.768982+00
asian restaurant,2025-02-07 17:23:52.058489+00
claro,2025-02-07 01:24:26.929087+00
coffee shop wifi,2025-02-06 18:19:28.187441+00
cafes that turn into bars,2025-02-06 07:04:33.140719+00
aesthetic dinner,2025-02-06 04:38:47.187813+00
bad roman,2025-02-06 02:43:04.338496+00
casual,2025-02-06 02:20:04.11131+00
cake,2025-02-05 22:44:33.833798+00
brunch in west village,2025-02-05 20:53:45.795948+00
birthday celebration,2025-02-05 16:32:45.940223+00
brasserie,2025-02-05 00:58:43.620896+00
525,2025-02-04 15:14:20.618792+00
cava,2025-02-04 13:23:43.517065+00
cassia,2025-02-04 04:43:09.157404+00
balkan coffee shop,2025-02-03 22:44:42.102734+00
activity,2025-02-03 20:34:46.557905+00
bbq,2025-02-03 18:46:10.830558+00
adrogynous fashion,2025-02-03 05:00:16.213328+00
cafe to work at,2025-02-02 20:12:46.978486+00
cafes near stuytown,2025-02-02 18:38:12.691717+00
cool bar,2025-02-02 16:46:32.379397+00
bar v,2025-02-02 12:33:29.808198+00
450 e 20th st,2025-02-02 05:22:18.594598+00
2nd street,2025-02-01 23:41:57.242873+00
climb,2025-02-01 23:17:51.357397+00
bouldering,2025-02-01 23:17:33.737542+00
climbing,2025-02-01 23:16:44.997179+00
cheap eats,2025-02-01 22:22:35.412256+00
coffees to work,2025-02-01 20:09:59.435909+00
chill japanese restaurants,2025-02-01 19:35:33.592506+00
chill restaurants,2025-02-01 19:35:22.074763+00
classic,2025-02-01 02:41:37.867503+00
cafe for work,2025-01-31 20:22:10.868132+00
chinatown coffee shop,2025-01-31 19:46:10.516097+00
chinatown nreakfast,2025-01-31 14:26:53.040274+00
best bars,2025-01-31 01:33:03.504067+00
coffee date,2025-01-30 22:42:35.308486+00
coffee date chelsea,2025-01-30 22:42:21.915586+00
cafe west village,2025-01-30 16:59:16.458754+00
bird,2025-01-30 15:11:37.987313+00
birdie,2025-01-30 15:11:20.361063+00
blue bottle,2025-01-29 20:17:58.273463+00
bar for casual drink worh friend,2025-01-28 23:30:51.110156+00
casual dinner,2025-01-28 14:02:31.557927+00
arts,2025-01-27 16:51:01.134999+00
arts and crafts,2025-01-27 16:50:52.422238+00
crafts with friends,2025-01-27 16:50:38.2585+00
crafts,2025-01-27 16:50:24.316235+00
authentic chinese food,2025-01-27 16:15:00.885684+00
bookshops,2025-01-26 18:56:12.158489+00
carlos,2025-01-26 05:12:19.600326+00
8 bits bites,2025-01-26 05:03:58.668079+00
aesthetic date night wine bar,2025-01-25 22:26:50.528277+00
cafes to work from with wifi,2025-01-25 22:21:56.657939+00
best dim sum,2025-01-25 19:11:08.708491+00
cozy coffee shop,2025-01-25 16:36:01.625708+00
ace’s,2025-01-25 14:35:03.26914+00
clubs to dance at,2025-01-25 05:02:08.362127+00
coff,2025-01-25 04:48:57.553062+00
best indian restaurant,2025-01-25 00:32:33.024752+00
brunch flatiron,2025-01-24 13:58:31.873972+00
bars with space for a group,2025-01-23 23:13:33.82223+00
bread baskets,2025-01-22 23:46:14.109635+00
big group dinner,2025-01-22 16:56:34.41849+00
banchan by sunny,2025-01-22 04:44:12.192912+00
cozy cafe read,2025-01-21 20:17:13.804855+00
cozy cafe work,2025-01-21 20:16:50.676343+00
coworking,2025-01-21 14:44:13.998486+00
casual dinner with friends trendy,2025-01-21 01:45:30.122746+00
bar orai,2025-01-19 22:30:57.346069+00
cocktails,2025-01-19 01:01:55.055335+00
american diner,2025-01-18 14:28:47.055255+00
cheap dinner,2025-01-16 17:07:21.127203+00
chinatown lunch,2025-01-16 16:06:37.475633+00
asian noodles,2025-01-15 22:54:30.28756+00
brennasl,2025-01-15 18:13:21.313705+00
craft beer,2025-01-15 13:02:20.970483+00
cafes open really early,2025-01-15 03:43:27.928291+00
cool vintage shops,2025-01-14 15:06:37.521165+00
cool girl fashion,2025-01-14 15:06:03.013763+00
brunch near 121 east 22nd,2025-01-14 14:21:45.339625+00
chinato,2025-01-14 03:46:53.781126+00
cozy breakfast,2025-01-14 03:13:12.542703+00
chill solo activity,2025-01-12 18:58:29.563381+00
614 movie night,2025-01-12 14:55:05.800787+00
caesar salad wrap,2025-01-11 16:43:32.498267+00
cozy restaurants,2025-01-11 15:29:41.071547+00
classy bars,2025-01-11 15:17:06.318494+00
barbershop,2025-01-10 20:25:37.54371+00
cozy cocktail bar,2025-01-09 19:54:54.299626+00
bridesmaid proposal nyc,2025-01-05 05:15:46.778341+00
brunch in greenpoint,2025-01-04 15:10:27.624304+00
coffeeshop to work from,2025-01-03 02:31:56.93857+00
best lunch,2025-01-02 03:55:18.224038+00
best coffee,2025-01-02 03:54:25.862837+00
black sesame latte,2025-01-02 03:53:38.418846+00
casual dinner with family,2025-01-02 00:36:24.881776+00
coffe shop,2025-01-01 19:22:22.437202+00
bar to hang out on new years eve,2025-01-01 00:03:05.10195+00
"casual dinner spot in the west village, nyc",2024-12-31 22:37:21.038101+00
clubs,2024-12-31 13:39:46.65769+00
azalea ristorane,2024-12-30 04:00:09.830632+00
baburtoo,2024-12-29 01:03:11.535+00
classy,2024-12-28 20:27:37.979514+00
asain takeout,2024-12-28 03:36:46.949694+00
christmas,2024-12-27 05:29:51.980879+00
coffee shop to work from,2024-12-25 19:38:20.931759+00
"aunty sue, 1472-4 kobayashi, inzai, chiba 270-1318",2024-12-22 13:10:47.248695+00
catch,2024-12-22 00:02:03.610899+00
bars uptown,2024-12-21 17:02:59.419474+00
bar old new york,2024-12-21 16:54:01.506454+00
brunch near flatiron,2024-12-21 16:02:14.388501+00
cozy dinner,2024-12-20 03:41:10.116602+00
christmas vibes lower east side,2024-12-20 00:48:33.682811+00
cocktail,2024-12-19 23:40:06.948058+00
christmas bar,2024-12-17 22:33:55.014687+00
cocktails soho,2024-12-15 20:18:00.873611+00
apartment,2024-12-15 16:28:27.163707+00
cowork,2024-12-14 16:49:22.004582+00
cosy bar,2024-12-14 01:33:28.141226+00
cellar dog,2024-12-13 05:24:19.666372+00
best bakeries in nyc,2024-12-09 23:51:59.968823+00
best donuts,2024-12-09 20:35:44.229693+00
cool ambiance,2024-12-09 10:48:50.756639+00
cool ambianc,2024-12-09 10:48:48.259341+00
affordable lunch spots with cool vibes,2024-12-09 05:39:20.605968+00
affordable lunch spots with cool vibes in manhattan,2024-12-09 05:36:26.946137+00
asian pastry,2024-12-08 05:35:18.715854+00
cold day,2024-12-08 05:34:26.92896+00
action bronson,2024-12-07 17:29:26.406563+00
bowling,2024-12-07 04:54:55.179633+00
aatoria,2024-12-07 04:53:02.92653+00
cdmx,2024-12-07 04:27:52.036309+00
cozy bar with live music,2024-12-07 00:57:55.549692+00
cozy bar,2024-12-07 00:57:28.736386+00
cafes to work out of,2024-12-06 19:47:23.121539+00
cool date night cocktail bar,2024-12-05 03:13:44.461257+00
cool date night,2024-12-05 03:13:26.974514+00
abes pagoda bar,2024-12-04 17:42:23.148364+00
corner store,2024-12-04 05:32:24.472588+00
clinton,2024-12-04 05:25:46.883928+00
asian inspired bars,2024-12-03 19:48:28.091402+00
chinese peking duck,2024-12-03 19:46:26.149093+00
asian inpspired bars,2024-12-03 19:46:14.556559+00
christmas themed eats near bryant park,2024-12-02 16:40:46.149269+00
caffe pana,2024-12-01 02:31:44.807562+00
bars for girls night,2024-11-26 16:41:02.382205+00
boba tea,2024-11-25 23:09:49.790621+00
6 person dinner chelsea,2024-11-23 22:08:49.338059+00
book shop,2024-11-23 19:27:36.782679+00
art gallery,2024-11-20 06:09:36.895445+00
chai 柴院 | authentic chinese restaurant,2024-11-19 22:06:52.996741+00
chai authentic chinese,2024-11-19 22:05:43.540805+00
comedy,2024-11-19 13:59:16.926928+00
barbuto,2024-11-18 23:45:20.663302+00
bar primi,2024-11-18 18:13:23.326406+00
brunch vibes,2024-11-17 14:46:43.052654+00
chill indie cafes you can work out of all day,2024-11-17 07:10:51.472007+00
chicago,2024-11-16 20:51:48.472659+00
chocolate croissant,2024-11-16 18:35:21.274059+00
cabra,2024-11-16 15:54:27.572804+00
"37 greenpoint avenue, suite 212 brooklyn new york",2024-11-16 15:25:37.628343+00
bagel,2024-11-16 15:08:52.669908+00
bala wellness,2024-11-14 21:28:55.034576+00
coffee in soho,2024-11-13 03:52:14.053793+00
american food,2024-11-12 23:36:59.949075+00
1970 vibe,2024-11-12 23:14:11.072049+00
bar for dancing,2024-11-12 19:42:51.202335+00
asian fusion cocktails,2024-11-12 19:40:09.877764+00
70s,2024-11-12 14:51:42.964696+00
cafe turkiye,2024-11-12 06:23:16.845522+00
asian street food,2024-11-11 20:03:07.769121+00
cafe williamsburg,2024-11-10 12:13:54.245294+00
bar with friend to talk,2024-11-10 03:44:12.497167+00
asian cafes to cowork,2024-11-10 03:05:41.443268+00
bondst,2024-11-10 01:06:22.17157+00
cheap omakase,2024-11-09 23:39:58.448038+00
best restaurants in queens,2024-11-09 18:59:29.319492+00
chill bar to read,2024-11-09 17:26:43.493336+00
asian fashion,2024-11-08 21:25:10.477747+00
casual restaurant,2024-11-07 19:00:39.070509+00
cafes to cowork,2024-11-06 04:11:08.791823+00
bars with mockysils,2024-11-06 04:10:50.144187+00
birthday party bar,2024-11-06 01:03:03.472166+00
art gallery guide,2024-11-05 15:06:40.281155+00
comforting,2024-11-05 12:01:14.212457+00
bars with a nice outdoor area near soho,2024-11-04 22:34:06.347363+00
casual lunch,2024-11-03 19:09:26.076982+00
24hour diner,2024-11-03 05:43:17.617849+00
casual food,2024-11-01 22:09:06.274121+00
banh,2024-11-01 21:57:08.733962+00
affordable dinner,2024-11-01 21:56:55.113151+00
brooklyn whisk,2024-11-01 20:35:26.546135+00
atx,2024-10-30 01:32:31.654957+00
caffe,2024-10-27 08:03:14.917362+00
chinese vegan,2024-10-25 21:33:39.180338+00
chinese with vegan options,2024-10-25 21:32:42.217729+00
bottomless mimosa nyc,2024-10-24 15:32:21.465452+00
brunch nyc,2024-10-24 15:30:27.303653+00
best bottomless mimosas in nyc,2024-10-24 15:27:17.308587+00
blank street coffee,2024-10-24 02:54:12.349131+00
best chai latte,2024-10-22 18:02:54.077799+00
chicken parm,2024-10-22 02:52:25.475799+00
coworking cafe,2024-10-22 02:05:30.72851+00
assembly,2024-10-21 14:33:36.982279+00
burger new york,2024-10-20 21:01:16.786161+00
beer outside,2024-10-20 18:22:58.93655+00
cafe to get work done,2024-10-20 04:03:17.999592+00
burritos,2024-10-19 21:56:59.548369+00
bar with outdoor space,2024-10-19 18:33:00.976981+00
anne thomas paris,2024-10-18 23:04:47.434662+00
cozy date night spot for two,2024-10-18 19:19:48.045552+00
cafe to cowork,2024-10-17 18:44:41.551528+00
cafes to work in,2024-10-17 18:40:38.007841+00
coffee to cowork,2024-10-17 00:56:45.453968+00
club dance,2024-10-16 21:23:09.200689+00
bali,2024-10-16 01:55:02.878035+00
californian,2024-10-16 01:49:29.674692+00
cocina consuelo,2024-10-14 21:25:58.437042+00
brunch near me,2024-10-13 15:29:59.946409+00
calm vibey breakfast spot,2024-10-13 14:08:37.591643+00
bars to go dancing,2024-10-13 01:10:49.236369+00
cocktail vibey,2024-10-12 23:59:39.793116+00
corner,2024-10-12 19:27:41.448001+00
best places to visit with family,2024-10-11 06:13:46.716798+00
cafe work,2024-10-10 18:12:23.246021+00
best pita bread,2024-10-10 01:23:57.912624+00
cafe thats also a flower shop,2024-10-09 11:44:52.755203+00
clothing shop near alpha industirs,2024-10-08 22:14:40.739309+00
crazy experiences,2024-10-08 22:06:39.820768+00
breakfast date,2024-10-08 15:43:02.431429+00
coworking spot upper west side,2024-10-08 14:58:29.140734+00
about last night,2024-10-07 15:57:05.07441+00
cheap breakfast,2024-10-07 14:08:53.569473+00
casual date spot,2024-10-06 00:39:47.739383+00
cha&,2024-10-05 21:26:59.313459+00
coworking bar,2024-10-05 19:05:21.17365+00
brunch san francisco,2024-10-05 14:07:59.126268+00
bar with cozy vibes,2024-10-05 00:53:45.018817+00
cheap dinner for one,2024-10-04 21:08:04.418583+00
cafe luluc,2024-10-04 18:07:02.527772+00
cafes to work in midtown,2024-10-03 16:55:30.663551+00
acai,2024-10-03 12:20:48.119505+00
chicken,2024-10-02 23:02:23.959978+00
co-work spots brooklyn ny,2024-10-01 03:53:31.881025+00
cookie,2024-10-01 00:26:38.12407+00
coffee shops to cowork from,2024-09-30 19:05:31.102904+00
bubble tea,2024-09-29 22:52:52.060371+00
cafe nearby,2024-09-29 19:17:24.269965+00
cafe nearby open till 6,2024-09-29 19:17:16.606871+00
cafe tk do work at,2024-09-29 17:49:06.094408+00
brunch spots in manhattan,2024-09-29 01:42:42.364093+00
bay ridge,2024-09-29 01:27:57.330407+00
barbeque,2024-09-28 20:19:17.890275+00
casual authentic restaurants,2024-09-27 21:52:05.612906+00
cafe w patio,2024-09-26 13:21:06.070145+00
chocolate crossaint,2024-09-24 15:51:14.577465+00
caffe martini,2024-09-23 20:30:57.32528+00
anniversary dinner,2024-09-23 19:59:10.810082+00
big lunch casual,2024-09-22 16:54:19.155824+00
bahn mi saigon,2024-09-21 18:42:22.976474+00
boozy brunch,2024-09-21 16:27:04.101793+00
brunch in flat iron,2024-09-21 01:06:39.390329+00
cafés to co-work from,2024-09-20 14:03:50.173252+00
billet cafe mapo,2024-09-19 23:50:54.194968+00
chill restaurant,2024-09-19 14:33:25.19876+00
blend,2024-09-18 01:12:58.980254+00
coffee where you can chat,2024-09-16 22:01:23.015053+00
berlin mini golf and bumper boats,2024-09-16 12:43:47.981656+00
cafe near me,2024-09-15 22:04:23.760371+00
boba drinks,2024-09-15 20:18:26.539276+00
asian dinner,2024-09-14 17:37:55.424798+00
breakfast burrito,2024-09-14 16:03:00.892272+00
brunch in manhattan,2024-09-14 14:31:19.892437+00
columbia sweetgreen,2024-09-14 01:02:59.202195+00
cheap good food,2024-09-13 22:48:53.679512+00
cafe for talking with a friend,2024-09-13 14:22:59.335667+00
best bars in grammercy,2024-09-12 21:41:00.754846+00
beso,2024-09-12 10:08:33.865636+00
bluestone lane,2024-09-11 22:07:05.079302+00
booth,2024-09-11 17:56:38.948746+00
brewery,2024-09-11 17:37:03.735512+00
2b2y,2024-09-09 17:08:47.657247+00
cafe for working,2024-09-09 16:47:45.399863+00
antidote,2024-09-08 15:21:21.040427+00
bar bam,2024-09-08 13:27:55.394457+00
authentic mexican,2024-09-07 22:07:48.851511+00
asuka,2024-09-07 00:23:01.598238+00
bar first date,2024-09-07 00:12:36.651234+00
best sushi,2024-09-06 22:09:42.977127+00
bar with outdoor seating,2024-09-06 20:33:22.033471+00
astrology themed bar,2024-09-06 18:23:11.460628+00
coffee shops with good flavors,2024-09-06 16:45:23.272382+00
comedy club,2024-09-06 01:13:47.66879+00
coffee shop for working,2024-09-05 18:13:59.386445+00
casa mono,2024-09-05 14:27:55.433576+00
cara vintage,2024-09-05 13:03:24.49599+00
best bars in nyc,2024-09-05 04:08:46.327898+00
casual wine bar,2024-09-04 23:49:19.414286+00
cocktails on a patio,2024-09-04 20:04:13.593235+00
breakfast brunch,2024-09-04 19:11:05.068202+00
cool and edgy,2024-09-04 19:05:39.942507+00
coffee near midtown east for a date thats not a date,2024-09-04 14:09:22.452315+00
cold plunge,2024-09-04 02:07:02.018828+00
albania,2024-09-03 16:54:30.857806+00
best weworks,2024-09-03 14:35:49.721777+00
affordable restaurant to meet a friend after work,2024-09-03 12:31:33.429999+00
acai bowls,2024-09-03 12:04:33.839867+00
cafes to cowork from,2024-09-03 00:02:38.453036+00
asian inspired cafe,2024-09-02 23:47:34.676483+00
best burger spots,2024-09-02 23:38:53.882821+00
clothing stores that skew a bit gay,2024-09-02 23:35:03.738083+00
bars with disco balls,2024-09-02 23:31:42.957597+00
coworking space,2024-09-02 05:18:36.949339+00
coffee shops with wifi,2024-09-01 11:51:53.874309+00
best cocktail bars,2024-08-31 01:47:37.669192+00
cool brunch and lunch spot,2024-08-31 00:14:42.540767+00
cozy cofeeshop,2024-08-30 22:34:24.824588+00
brunch diner,2024-08-30 14:10:03.593161+00
bars to cowork from,2024-08-29 19:26:56.05006+00
bars to work from,2024-08-29 19:15:25.396865+00
brookly,2024-08-27 21:00:42.545807+00
brunch spots,2024-08-25 14:05:05.731086+00
cafe regular,2024-08-25 05:02:23.818003+00
buvette,2024-08-25 05:00:48.137687+00
a bar where we can read,2024-08-24 18:20:29.272747+00
cafe with wifi,2024-08-24 17:16:14.315512+00
cafe pastries lunch,2024-08-24 14:00:58.029271+00
cafes pastries lunch spots,2024-08-24 14:00:37.419162+00
7th street burger,2024-08-24 07:49:40.519704+00
boozy brunch bedstuy,2024-08-24 03:19:33.462382+00
asian dessert,2024-08-24 00:49:19.220216+00
bars with outdoor seating,2024-08-23 22:52:05.494991+00
coffee for vc meeting,2024-08-23 16:13:56.107441+00
coffee for work meeting,2024-08-23 16:09:43.110422+00
bathhouse,2024-08-22 21:36:46.444159+00
coffee shops to work from,2024-08-22 14:56:10.764853+00
coffee work,2024-08-22 14:55:49.905691+00
cha,2024-08-21 21:35:00.73088+00
chinese restaurant,2024-08-21 21:12:26.493651+00
brunch in lower east,2024-08-21 18:31:06.419335+00
3 years in date but not too fancy,2024-08-21 02:17:29.45822+00
bars near lincoln center,2024-08-20 19:58:25.831526+00
birthday dinner nyc,2024-08-20 17:47:38.258928+00
cafes with wifi,2024-08-20 14:28:21.408807+00
avocado toast,2024-08-20 13:25:58.360568+00
clothes shopping,2024-08-18 20:01:07.648347+00
citi bike,2024-08-18 02:09:03.796905+00
blind lisbon,2024-08-17 23:46:22.51371+00
cozy coffee,2024-08-17 19:36:00.434116+00
best places to dance,2024-08-17 05:25:08.120751+00
angels sha,2024-08-17 04:31:30.70886+00
astrology themed bars!,2024-08-17 00:53:41.171962+00
cafes with flowers,2024-08-17 00:44:00.751231+00
astrology themed bars,2024-08-17 00:18:40.262116+00
astrology themed cocktails,2024-08-17 00:15:02.823797+00
cool places to dance,2024-08-17 00:00:51.299997+00
cocktail bars,2024-08-16 22:50:43.934641+00
cocktail bars for a date,2024-08-16 22:49:51.138242+00
best hotel lobbys to work out of,2024-08-16 15:24:54.051529+00
cookie dough,2024-08-16 06:09:05.525991+00
best speakeasy near me,2024-08-15 21:28:03.340617+00
afrobeats in nyc,2024-08-15 19:12:57.225453+00
boba nyc,2024-08-15 07:06:02.899374+00
cant get into 4 charles prime rib,2024-08-14 19:46:52.988654+00
cant get into carbone,2024-08-14 19:46:09.86935+00
cannes boat,2024-08-14 18:22:33.723916+00
coffee shops for a first date,2024-08-14 17:23:58.337585+00
cafes for coworking,2024-08-13 17:58:00.846664+00
cowork by central park,2024-08-13 13:51:19.87467+00
best hotels,2024-08-12 20:02:39.853393+00
carousel,2024-08-12 00:50:05.792262+00
christmas vibe in new york,2024-08-11 21:41:29.39385+00
bacon egg and cheese,2024-08-10 20:57:14.60642+00
cilantro,2024-08-10 20:10:44.358735+00
best french toast,2024-08-10 13:26:22.053903+00
brunch date in union square or lower manhattan,2024-08-10 11:57:58.506087+00
coworking nyc,2024-08-09 23:30:57.224111+00
best matcha,2024-08-09 21:53:12.171477+00
brooklyn yard,2024-08-08 08:27:43.759348+00
comforting korean food in seoul korea,2024-08-07 18:30:35.515453+00
clothing or furnite stores with cafes,2024-08-07 05:58:45.616514+00
coffeshop,2024-08-06 22:40:18.963684+00
bilt,2024-08-06 18:56:39.982262+00
asian food in fidi,2024-08-05 23:26:22.116007+00
best places to study,2024-08-05 21:30:19.938264+00
chencao,2024-08-04 23:47:40.992448+00
@chencao,2024-08-04 23:44:43.476123+00
@chencao paris,2024-08-04 23:40:07.658495+00
cafes with private wifi,2024-08-04 17:39:18.321134+00
