found,name,corner_place_id,google_id,original_name,neighborhood,description,price_range,cuisine,address,reviews,url
False,Bibliotheque,121459,ChIJvTUD4LZZwokRPYqxLi7y9Kg,Bibliotheque,SoHo,,,,,,
False,Devoción,2362,ChIJi7flemFZwokRDpIJuxfOGek,Devoción,Brooklyn,,,,,,
False,The Museum of Modern Art,418,ChIJKxDbe_lYwokRVf__s8CPn-o,The Museum of Modern Art,Midtown,,,,,,
False,Lilia,3366,ChIJJXCD6ltZwokRJ_cwjKQH63c,Lilia,Brooklyn,,,,,,
False,Ume,14979,ChIJ64q9nXNZwokRCt5KB8WXT6M,Ume,Brooklyn,,,,,,
False,Fish Cheeks,3372,ChIJgc7fPIVZwokRQMnqTxTf_Qk,Fish Cheeks,NoHo,,,,,,
False,Librae Bakery,9662,ChIJDyCs8UNZwokRaNcdvn_c6jU,Librae Bakery,East Village,,,,,,
False,Kiki's,501,ChIJD-1a9ChawokRnTSi_Et62x4,Kiki's,Chinatown,,,,,,
False,Tomi Jazz,9435,ChIJVcSnm-NYwokRnGivcMPc81Q,Tomi Jazz,Midtown East,,,,,,
False,The Four Horsemen,1165,ChIJbTCMl19ZwokRUohF137p9cQ,The Four Horsemen,Brooklyn,,,,,,
False,La Cabra,52066,ChIJ064AVwtZwokRK_IbyKmCNBQ,La Cabra,SoHo,,,,,,
True,Rubirosa,402,ChIJs8MdNo9ZwokRTPUHiArLC-o,Rubirosa,Little Italy,"Located in New York Cityï¿½s NoLita neighborhood, Rubirosa serves both Italian and American cuisine in a casual atmosphere. The restaurant uses fresh ingredients including daily handmade pasta. Rubirosa also serves wine and spirits, imported from Italy.



Try the roasted octopus or the mozzarella sticks to start out your meal at Rubirosa. Choose from entrï¿½es like the crispy Brussels sprouts and the rigatoni or order a large pizza to share with the family. The menu includes plenty of vegetarian options so that everyone in the group can find something on the menu to enjoy. Additionally, the restaurant offers takeout services for its customersï¿½ convenience.
",$30 and under,"Italian, Pizzeria",235 Mulberry Street,"['Excellent food and service...our favorite spot when we visit New York City!!!!!', 'We had a great night! Very helpfull waiter. Some great appetisers to start with and a fantastis pizza!', ""Food was delicious. Very charming space. We were seated in the very back, which wasn't nearly as lively &amp; fun as the front/bar room."", ""Easily the best pizza in Manhattan, which compensates for service that is at best indifferent until the check is presented and then it's all smiles.  Too bad FOH isn't in sync with BOH."", 'Great gluten free menu. Very good service. Lovely food.']",https://www.opentable.com/rubirosa
False,L'Appartement 4F,8594,ChIJ_xVHVB5bwokRXZSTppGOkK4,L'Appartement 4F,Brooklyn Heights,,,,,,
False,Don Angie,1167,ChIJfxC19JVZwokRX2uKgQAL17c,Don Angie,West Village,,,,,,
False,The High Line,1945,ChIJ5bQPhMdZwokRkTwKhVxhP1g,The High Line,Chelsea District,,,,,,
False,Prince Street Pizza,1950,ChIJ6xvs94VZwokRnT1D2lX2OTw,Prince Street Pizza,Little Italy,,,,,,
True,Scarr's Pizza,2446,ChIJOUqatilawokRguvFSj0wX7Y,Scarr's Pizza,Chinatown,"First opened in 2016 and located on Orchard Street, where the LES, Chinatown and Dimes Square converge, Scarr's Pizza has been called, ""The best slice in New York."" With a focus on all-natural and organic ingredients, owner and 2024 James Beard Nominee (Best Chef NY State) Scarr Pimentel has crafted not only the best tasting slice in the city, but the healthiest too. Skip the line, book a table and come in for a pie. There is a full bar and the dine-in menu features the crowd favorite Hotboi and Clark Kent as well as exclusive items like the Calzones. ",$31 to $50,Pizzeria,35 Orchard St,"['Small pizza was thick, too saucy and doughy. You shouldnâ\x80\x99t offer a small pie if you canâ\x80\x99t make it relatively the same way. Was a huge miss. Chicken parm was mediocre at best. Vegan Caesar salad was incredible!', 'Young and sceney and honestly Iâ\x80\x99m not part of that scene, but I was there on a Saturday night with my six-year-old and everybody was super welcoming. It was a great vibe. It was really really fun and we would definitely be back.', 'Perfect . The best pizza ð\x9f\x8d\x95 !! I Love\nComme everibody . I Will Comme Back again', 'Great pizza, friendly service, chill vibe.  Fun place.', 'Wow! The hotboi pizza was really good! Love the music and the upbeat vibe. The staff were great! Will definitely come back.']",https://www.opentable.com/r/scarrs-pizza-new-york
False,Antidote,1172,ChIJN7sVKcJZwokRZp59H74tSFg,Antidote,Brooklyn,,,,,,
False,The Center for Fiction,2828,ChIJgf_deP5YwokR9lClGH8WEZQ,The Center for Fiction,Fort Greene,,,,,,
False,Birds of a Feather,1677,ChIJhzzIZWBZwokRPp4llFHtQzs,Birds of a Feather,Brooklyn,,,,,,
True,L'Artusi,1140,ChIJxwoiopRZwokRttz8Wb0-BLU,L'Artusi,West Village,"Opened in December of 2008, L'Artusi is the second restaurant from the team that brought dell'anima to the West Village.Executive Chef Joe Vigorito, Pastry Chef Jessica Craig, and Beverage Director Annecherie Saludo share their expertise in Italian cuisine and Epicurean Hospitality. Featuring refined rustic cuisine, a crudo bar, specialty cheese program, private dining room, and a walk-in wine cellar, LâArtusi offers guests a variety of dining options in a warm, friendly vibe.Our 110 seat restaurant, designed by Brooke Maples, features two floors of comfortable banquette seating, extended traditional bar, cheese bar and a chef's counter over-looking the open kitchen. Private dining opportunities are also available in our 2500 bottle walk-in wine cellar.",$31 to $50,Italian,228 West 10th Street,"['Excellent food and service', 'Always a Home run of a dining experience. Food and wine are excellent and staff is knowledgeable. My only call out is the server seemed a little annoyed we ordered dessert/dessert wine. Understandably she wanted to close out her tables and go home but otherwise great experience.', ""Consistently excellent. We brought people who hadn't been there and they were very happy. Service was great, seated promptly, food came out in an orderly and timely manner."", ""Outstanding as always! Love the new expanded brunch menu and excited that you'll be open for brunch on Saturdays too!"", 'Both the food and the service are consistently good.']",https://www.opentable.com/lartusi
False,COTE Korean Steakhouse,9749,ChIJQ1R3hKNZwokRQM4wbIrc00o,COTE Korean Steakhouse,Flatiron District,,,,,,
False,Metrograph,2746,ChIJ58HssClawokRefq6VNIOrlY,Metrograph,Chinatown,,,,,,
False,Buvette,2756,ChIJEwHZcZNZwokR810IgyQhoZM,Buvette,West Village,,,,,,
False,usagi,2699,ChIJn1K9TDJawokReSrf6lk1Xck,usagi,Brooklyn,,,,,,
False,Via Carota,18352,ChIJr7FOf5NZwokRu3CDYtzVmuQ,Via Carota,West Village,,,,,,
False,Katana Kitten,18399,ChIJp7-d8P9ZwokRtQtbCsCOCBA,Katana Kitten,West Village,,,,,,
False,Radio Bakery,53862,ChIJidmaBvdZwokRpeaRMeb_rX4,Radio Bakery,Greenpoint,,,,,,
False,Mei Lai Wah,646,ChIJM3elBidawokRJKPC55N6pQI,Mei Lai Wah,Chinatown,,,,,,
False,SEY Coffee,2373,ChIJtz83BQFcwokRrUZ9HpeGOng,SEY Coffee,Brooklyn,,,,,,
False,Lucali,1934,ChIJ395CMVlawokRt2oLH_8zmvI,Lucali,Brooklyn,,,,,,
False,Sauced,13980,ChIJW3Jhm8pZwokRlWrTFhoG1BU,Sauced,Brooklyn,,,,,,
False,Gem Wine,9841,ChIJ26qnT6lZwokR0M8xAaWVR0k,Gem Wine,Lower East Side,,,,,,
False,LOS TACOS No.1,1812,ChIJ6WooklRYwokR3qd-J59t-k0,LOS TACOS No.1,Theater District,,,,,,
False,Central Park,420,ChIJ4zGFAZpYwokRGUGph3Mf37k,Central Park,Manhattan,,,,,,
False,Taqueria Ramirez,1195,ChIJDw8CYIpZwokRm_KQDaRtTK0,Taqueria Ramirez,Greenpoint,,,,,,
False,Caffè Panna,21244,ChIJpUwuIMNZwokRBlex2HAooM0,Caffè Panna,Gramercy,,,,,,
False,Katz's Delicatessen,2466,ChIJCar0f49ZwokR6ozLV-dHNTE,Katz's Delicatessen,Lower East Side,,,,,,
False,Davelle,15324,ChIJk1s5AIFZwokRymNr0rhKWFE,Davelle,Lower East Side,,,,,,
False,Chelsea Market,1941,ChIJw2lMFL9ZwokRosAtly52YX4,Chelsea Market,Chelsea District,,,,,,
False,Attaboy,249,ChIJDbQMBIdZwokRVS4L8B8V5SA,Attaboy,Lower East Side,,,,,,
False,Shukette,188,ChIJuabZo6hZwokRhGPoGjo0H6k,Shukette,Chelsea District,,,,,,
False,Grace Street Coffee & Desserts,153,ChIJ9Sto4ahZwokRXpWiQYiOOOo,Grace Street Coffee & Desserts,Koreatown,,,,,,
False,Dominique Ansel Bakery,345,ChIJP0KOWoxZwokRmvPiQAIaH1A,Dominique Ansel Bakery,SoHo,,,,,,
False,Overstory,11217,ChIJ_8dmJ0lbwokRIJHQFfXiMNo,Overstory,Financial District,,,,,,
False,Cho Dang Gol,905,ChIJU0c2Y6lZwokRKlyc_R8HN88,Cho Dang Gol,Midtown South,,,,,,
False,Please Don't Tell,10360,ChIJb67-ZZ1ZwokRRxBYr3GlFp0,Please Don't Tell,East Village,,,,,,
False,Clinton St. Baking Company,8581,ChIJ4Q2rG4JZwokR8TVjhflNfMk,Clinton St. Baking Company,Lower East Side,,,,,,
False,COQODAQ,121509,ChIJp-hnIhNZwokRq1FijMduZrM,COQODAQ,Flatiron District,,,,,,
False,MáLà Project,15969,ChIJM2NCGJ1ZwokRA2nCkZcz08g,MáLà Project,East Village,,,,,,
True,JeJu Noodle Bar,440,ChIJvSw_uuxZwokRwESVzh5G33s,Jeju Noodle Bar,West Village,"We are primarily  reservation based and very limited for walk-in availability. Jeju, in Korean, also has a few different definitions such as âskill, talent, abilityâ.The close Korean equivalent of the Japanese Ramen, Ramyun is a comfort dish enjoyed by Koreans of all social class and ages. At Jeju Noodle Bar âour main focus is to allow diners to experience and savor the distinct Korean flavor by using different techniques &amp; ingredients from chef Douglasâs experiences. ",$31 to $50,"Korean, Contemporary Asian",679 Greenwich St,"['Outstanding! There was not a single misstep in the entire evening. Each and every dish was prepared and presented absolutely perfectly. The staff was kind, attentive, accommodating, and extremely knowledgeable. Cannot recommend this place enough.', 'Unusual flavors and astonishingly delicious\n  Crazy noisy though.', 'Really good/ attentive service. Food was grest', ""We called ahead to make sure the restaurant had gluten free options.  They said they did. This was their version of GF. For the noodles, they substituted rice for noodles, and the raw ingredients on the side. The raw red meat never cooked when I put it in the bowl. I basically ate a bowl of insanely rich broth with slices of raw meat and a few vegetables. It was horrible. They were out of the GF egg option, which would have saved my stomach a little bit. The chef clearly has never tasted his 'gluten free' version, or he would not have served it."", 'Got the price fixe\n\nToro excellent\nChicken wings and mushroom truffle very good\nRibeye Ssam and the fish coop ramyun was ok\nIce cream dessert was fine \n\nIronically, the noodles were not the strength but the prices are good and if you do ala crate and do the toro chicken wings and mushroom you will be good.']",https://www.opentable.com/r/jeju-noodle-bar-new-york
False,RHYTHM ZERO | GREENPOINT,22726,ChIJ_R0w0SRZwokRCUZlNLG9B-A,RHYTHM ZERO | GREENPOINT,Greenpoint,,,,,,
False,Paper Coffee,512,ChIJA5V7V69ZwokRNI_y14Yvu-w,Paper Coffee,NoMad,,,,,,
False,Happy Medium,2709,ChIJ8x4nPnRbwokRozC-WjZ0VMI,Happy Medium,Two Bridges,,,,,,
False,PUBLIC Hotel,478,ChIJYY-OM4RZwokRvA7ECx3HRZw,PUBLIC Hotel,Lower East Side,,,,,,
False,Sip&Guzzle,107629,ChIJ49KsB19ZwokR8VwrMbECQr8,Sip&Guzzle,West Village,,,,,,
False,Joyface,36,ChIJyVOaMJtZwokRdMND4_f_L-U,Joyface,Alphabet City,,,,,,
False,Strand Book Store,1951,ChIJnSKGEJlZwokRQIpiCvzKzV4,Strand Book Store,East Village,,,,,,
False,Torrisi,17385,ChIJWd7fRdZZwokRhru5tn4KsVM,Torrisi,Little Italy,,,,,,
False,Solomon R. Guggenheim Museum,397,ChIJmZ5emqJYwokRuDz79o0coAQ,Solomon R. Guggenheim Museum,Carnegie Hill,,,,,,
False,St Jardim,11889,ChIJQT7u80BZwokR5MLuGvTsBiY,St Jardim,West Village,,,,,,
False,Magnolia Bakery,1923,ChIJF9Du35RZwokRFGd0oc4diZs,Magnolia Bakery,West Village,,,,,,
False,Café-Flor / Bar 21,616,ChIJ_abIqHtZwokRLWbw0G-lzu8,Café-Flor / Bar 21,Chelsea District,,,,,,
False,Golden Diner,10592,ChIJ1-mW-LhbwokR7Ryv5ha-gzc,Golden Diner,Two Bridges,,,,,,
False,Whitney Museum of American Art,1942,ChIJN3MJ6pRYwokRiXg91flSP8Y,Whitney Museum of American Art,Meatpacking District,,,,,,
True,Her Name is Han,641,ChIJKRVIbKhZwokRBg-yFy8VlKA,Her Name is Han,Midtown South,"Located in New York Cityï¿½s Gramercy neighborhood, Her Name is Han serves Korean cuisine with a modern flair for lunch and dinner. The restaurant also offers brunch on the weekend and frequently participates in pop-up locations around the city. Her Name is Han serves traditional Korean cocktails and spirits.



Start out your meal at Her Name is Han with an appetizer like the corn and potato croquettes or the crispy pancake with seafood and hot peppers. Choose from dinner entrï¿½es like the slow-cooked pork belly and kimchi salad or the spicy marinated raw blue crab. The menu also includes plenty of vegetarian and gluten-free options.
",$30 and under,Korean,17 E 31st Street,"['Enjoyed the food and great soju coctails!! Such a cute place!!', 'The stew soup base is too sweet.', 'Great modern Korean food in casual atmosphere .', 'Top-notch food, drinks, and service! It was delicious, pleasant, and I would definitely go back!', ""Amazing! Food was incredible and the staff were incredibly helpful when we didn't know what to order. Thoroughly recommend!""]",https://www.opentable.com/her-name-is-han
False,Coming Soon,530,ChIJUWNTySlawokRFApT4_EDvv8,Coming Soon,Chinatown,,,,,,
False,The Noguchi Museum,1442,ChIJUZ0c7MpYwokRh8SiMzCXL98,The Noguchi Museum,Queens,,,,,,
True,Thai Villa,432,ChIJfd-PtKNZwokR-m-0kzVTgBs,Thai Villa,Chelsea,"At Thai Villa, you will savor flavorful dishes rarely served outside of Thailand! When most people hear ""Thai cuisine,"" they think about Pad Thai, Tom Yum, and other popular street foods. We serve these classic dishes. But Thai Villa specializes in sophisticated, little-known cuisine such as Shrang Wa Goong and Kaeng Run Juan , originally prepared for Thai royalty in generations past. We want to introduce a new generation to these classically-prepared dishes and ensure they won't be lost. In fact, our mission at Thai Villa is to conserve Thai royal cuisine and share our love for this wonderful food with you. Bon appetit!",$31 to $50,Thai,5 E 19th St G Floor,"[""You definitely need a short-sleeve T-shirt to seat inside. Please note that this restaurant does not provide high chairs and has no enough space to put your stroller next to the table which means you'll have to hold your baby in arms all the time. The food is good but just the portion is tiny. That's why I give an overall rating of 3 stars."", '-Was seated on time for my reservation.\n-Excellent service ,the staff was on top of everything and catered to our needs\n-The decor and ambience is beautiful great for a date or special occasion\n-The food was very flavorful and great prices\nonly complaint is the pad Thai tends to be a bit sweet but not a big deal', ""The restaurant is beautiful inside. It's a perfect place to bring people who are visiting. The staff are excellent. The food has been delicious every time. This visit was at lunch and the lunch deal was affordable and had many options."", 'Gluten free well labelled &amp; good options.  Food very well presented &amp; tasty. Drinks a bit pricey but food prices very reasonable for what you get. Beautiful setting &amp; great service', 'Food was great but the bar was slow. Lots of ice not a lot of drink!  I would definitely go back to try different dishes.']",https://www.opentable.com/r/thai-villa-new-york
False,Laser Wolf Brooklyn,1211,ChIJLyS5dYRZwokRlkA0g9eijjs,Laser Wolf Brooklyn,Brooklyn,,,,,,
False,ARIARI,21845,ChIJhUDJFUVZwokRkNERZsyOxWo,ARIARI,East Village,,,,,,
False,Cha-An,222,ChIJK_ojbpxZwokR6hv_SRNgG9Q,Cha-An,East Village,,,,,,
False,Moono,48860,ChIJaWBLA_pZwokRX2BYIIr6rwE,Moono,Midtown South,,,,,,
False,Lysée,8578,ChIJw9h8wGpZwokRitJrDNaSqrg,Lysée,Flatiron District,,,,,,
False,American Museum of Natural History,2485,ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History,Upper West Side,,,,,,
False,Mama's TOO! Upper West Side,907,ChIJ5-8q3ST2wokRUmUlDRQUb7g,Mama's TOO! Upper West Side,Bloomingdale,,,,,,
False,Popup Bagels,55991,ChIJJ4WSJoZZwokRJVJJaTVLn1o,Popup Bagels,Greenwich Village,,,,,,
False,The Nines,3365,ChIJCfLy3phZwokRYh582zJlIiA,The Nines,NoHo,,,,,,
False,Bubby's,1154,ChIJETquaPVZwokRVYYGSKrg4E0,Bubby's,Tribeca,,,,,,
False,Land to Sea,2753,ChIJDeMIF1xZwokRoII7oV2s-HE,Land to Sea,Brooklyn,,,,,,
False,Eyval,9907,ChIJR9OEk_BdwokR9Qxlpi3I1ro,Eyval,Brooklyn,,,,,,
False,Time Out Market New York,12548,ChIJ9aMCWaxbwokRZHJGmTBxFtQ,Time Out Market New York,Brooklyn,,,,,,
False,Le Dive,2444,ChIJo4XQ00RbwokRomqfPVik1s4,Le Dive,Chinatown,,,,,,
False,Sadelle's New York,8853,ChIJP8URcY5ZwokRhFpdfNcK-FI,Sadelle's New York,SoHo,,,,,,
False,Hi-Collar,2711,ChIJZyJMS5xZwokR6LR59bMP6s8,Hi-Collar,East Village,,,,,,
False,Albertine,2703,ChIJe8TwIpRYwokRbZVYCpL0UWo,Albertine,Upper East Side,,,,,,
False,The Morgan Library & Museum,20646,ChIJ3453OAdZwokRja92OOKCugM,The Morgan Library & Museum,Murray Hill,,,,,,
False,Nami Nori,534,ChIJcfbyqFNZwokRUoBP92II4c0,Nami Nori,West Village,,,,,,
False,Semma,1940,ChIJxZmzO7hZwokRx2fls4uU4YU,Semma,West Village,,,,,,
False,Sorate,101426,ChIJ3dBW9_dZwokR43yOR9TxvXE,Sorate,SoHo,,,,,,
False,Shu Jiao Fu Zhou,623,ChIJ3au6oIdZwokRRpuRY9nbgik,Shu Jiao Fu Zhou,Chinatown,,,,,,
False,OKONOMI Brooklyn,13987,ChIJ2YwyMVhZwokRE47dTb7x1fo,OKONOMI Brooklyn,Brooklyn,,,,,,
False,Pause Cafe,2374,ChIJxwwfGoJZwokRdkYwAaTplOg,Pause Cafe,Lower East Side,,,,,,
False,Mountain House East Village 川山甲,21794,ChIJAQCweZxZwokRmyqYmYM3Ze8,Mountain House East Village 川山甲,East Village,,,,,,
False,Bonnie's,1150,ChIJbQc9ABZZwokRMAK6C-Ekxg4,Bonnie's,Brooklyn,,,,,,
False,KIJITORA,139245,ChIJ02sY7ydZwokRQNtTpmBywcc,KIJITORA,Brooklyn,,,,,,
False,Parcelle Chinatown,4347,ChIJI3VG1kxYwokRECoJD1lSvSY,Parcelle Chinatown,Chinatown,,,,,,
False,New York Public Library - Stephen A. Schwarzman Building,2347,ChIJqaiomQBZwokRTHOaUG7fUTs,New York Public Library - Stephen A. Schwarzman Building,Midtown South,,,,,,
False,Reception Bar,15968,ChIJV8leYltbwokRj0VpRTF8wqk,Reception Bar,Chinatown,,,,,,
False,Win Son,16170,ChIJ4-bYSvxbwokRPhLlLQFzOEo,Win Son,Brooklyn,,,,,,
False,Russ & Daughters,1953,ChIJ7VEEjYNZwokRS0bdsXA3uyg,Russ & Daughters,Lower East Side,,,,,,
False,NUBIANI,14987,ChIJW-3UoWxZwokRrli2mpfYZdo,NUBIANI,Midtown South,,,,,,
False,Little Ruby's SoHo,1954,ChIJeSToyohZwokRVHVIMsXPIUk,Little Ruby's SoHo,Little Italy,,,,,,
False,Patent Pending,15964,ChIJo7aE7KVZwokROU0QFO30FLA,Patent Pending,NoMad,,,,,,
False,OLIO E PIÙ,439,ChIJ_RUJvZZZwokRNUEv3K4nSik,OLIO E PIÙ,West Village,,,,,,
True,Raku,7121,ChIJ8eEu0JxZwokRNFpDI_HBFmc,Raku,East Village,Raku is a new sushi joint in the 50th &amp; France area. Raku is stylish and contemporary with muted tones. The menu offers plenty of sushi options as well as specialty modern Japanese dishes such as duck spring rolls and tuna pizza. Raku also offers a full bar with large selection of sakes!,$30 and under,"Japanese, Fusion / Eclectic",3939 W. 50th St. Suite 101,"['We love Raku because of the food &amp; the people who work there.  They remember us &amp; treat us like old friends.  Thank you!', ""Perfect location because of proximity to the Edina Theatre. Noise level was very good after families with children left. Food was fine. Not distinctive, but good. Price was a tad high for a suburban restaurant. I was annoyed that I wasn't able to receive points from OpenTable even though I reserved through that website."", 'Great place for a Japanese meal!', 'It took quite a while to get service....the food is amazing. The presentations are fantastic.  We shall return.', 'Reservations for noon. Stood outside the entry doors until 12:20 before an employee who had been outside smoking finally opened up. We were 2 of only 6-8 patrons in the whole place. It took another 20 minutes to get our server to take our order. She was unable to answer the most basic of questions about the menu. It appeared that everyone â\x80\x98workingâ\x80\x99 was hung over, or just sincerely disinterested in performing their duties. Maybe it was an off day, but I sure wonâ\x80\x99t be back, nor would I recommend it to anybody. The food was acceptable. Nothing outstanding.']",https://www.opentable.com/raku
False,Carbone New York,2454,ChIJmSvG_ZFZwokRTOFeiLXzkmA,Carbone New York,Greenwich Village,,,,,,
False,Elsewhere,33,ChIJrVAECUhfwokRsoEFM0dN67Q,Elsewhere,Brooklyn,,,,,,
False,Pranakhon,15013,ChIJeWk_ncJZwokR1QHfApa0dQo,Pranakhon,Greenwich Village,,,,,,
False,Sake Bar Decibel,48602,ChIJ-3ZSb5xZwokRDb2PQKNwwbU,Sake Bar Decibel,East Village,,,,,,
False,Wayan,3357,ChIJm7ryTglZwokRsgnJB6CDMCo,Wayan,Little Italy,,,,,,
False,Chinese Tuxedo,3326,ChIJyW-u9iZawokRY1sHXGzZHGI,Chinese Tuxedo,Chinatown,,,,,,
False,4 Charles Prime Rib,3294,ChIJ-7AOKpRZwokRMq0XnG_eehU,4 Charles Prime Rib,West Village,,,,,,
True,Acre,614,ChIJi7zDhGVZwokRwoHkVROLwlk,ACRE,Greenpoint,"Acre is an upscale, southern restaurant in Auburn Alabama, located just two blocks from the historic Toomer's Corner. Acre features fresh local ingredients sourced from their own gardens and local farms, and offers their guests true southern hospitality. Chef/Owner David Bancroft offers guests a diverse culinary experience and comfortable atmosphere that highlights the Auburn community.",$31 to $50,"Southern, Contemporary American",210 East Glenn Ave.,"['I had high expectations knowing the reviews and accolades of the chef at Acre. However, it was sadly disappointing. Beautiful building but the food was just sub par.  Fresh and creative should not equate to peculiar and expensive. I will choose to visit other establishments in my future trips to Auburn.', 'Best steak Iâ\x80\x99ve had recently - celebrated a birthday which was noted in reservation and mentioned to server and met with a mere meek Happy Birthday', 'I had the ribeye which was very flavorful and cooked (rare) to perfection.  Karen had the gulf shrimp and etouffe which was excellent.\n\nOur server, Walker, was outstanding.', 'Great selection of entrees', 'Nice place. Unique menu.  Staff is always great.']",https://www.opentable.com/acre
False,Duo Cafe,114895,ChIJ7WHiw8NZwokRcBER8ZksOJk,Duo Cafe,East Village,,,,,,
False,Little Island,15206,ChIJL-CJmTFZwokRsPcqje_bn7w,Little Island,Manhattan,,,,,,
False,Kettl Tea,28957,ChIJHVqM3eFZwokR8EULdHItPac,Kettl Tea,Greenpoint,,,,,,
